"poi_id","poi_name","category_id","category_name","longitude","latitude"

"54","Basilica di Santa Anastasia","1","Chiese","10.999825","45.445176000000004"

"52","complesso del Duomo","1","Chiese","10.9967941","45.44707660000001"

"70","Chiesa di San Bernardino","1","Chiese","10.9811246","45.4389054"

"74","Chiesa di Santa Maria in Organo","1","Chiese","11.0043137","45.4444016"

"51","Chiesa di San Lorenzo","1","Chiese","10.9915102","45.4411337"

"73","Chiesa di San Giorgio in Braida","1","Chiese","10.9957319","45.4488567"

"63","Basilica di San Zeno","1","Chiese","10.9786355","45.442372"

"62","Chiesa di San Fermo","1","Chiese","11.0000235","45.4391952"

"79","Chiesa di Santa Maria Antica","1","Chiese","10.9991558","45.443534"

"48","Porta Leoni","2","Monumenti","10.9996801","45.4404835"

"77","Piazza Bra","2","Monumenti","10.9924248","45.4388376"

"78","Palazzo del Governo e della Prefettura","2","Monumenti","10.9986421","45.4436592"

"44","Porta Borsari","2","Monumenti","10.993385","45.4419495"

"110","Torre del Gardello","2","Monumenti","10.9965742","45.4435462"

"72","Loggia del Consiglio","2","Monumenti","10.9981191","45.4437156"

"53","Biblioteca Capitolare","2","Monumenti","10.9963448","45.4470935"

"56","Piazza dei Signori o Piazza Dante","2","Monumenti","10.9980494","45.443503"

"57","Palazzo del Capitanio o del Tribunale","2","Monumenti","10.9985134","45.443407"

"58","Palazzo della Ragione o del Comune","2","Monumenti","10.9979367","45.4431191"

"59","Torre dei Lamberti","2","Monumenti","10.9976605","45.4429629"

"60","Piazza Erbe","2","Monumenti","10.9970811","45.4432057"

"46","Ponte Pietra","2","Monumenti","11.000101","45.447743"

"47","Teatro Romano","2","Monumenti","11.001868","45.447093"

"55","Arche Scaligere","2","Monumenti","10.9989774","45.4435218"

"43","Arco dei Gavi","2","Monumenti","10.988838","45.440121"

"49","Anfiteatro Arena","2","Monumenti","10.994672","45.439116"

"75","Giardino Giusti","2","Monumenti","11.0071608","45.4436667"

"100","Porta Nuova","2","Monumenti","10.9880715","45.4311698"

"101","Porta San Zeno","2","Monumenti","10.9754974","45.4428067"

"102","Porta Palio","2","Monumenti","10.9800303","45.4353294"

"50","Castelvecchio","2","Monumenti","10.9878302","45.4395227"

"201","Museo di Storia Naturale","4","Musei e Centri Espositivi","11.0022014","45.4383803"

"200","Museo Africano","4","Musei e Centri Espositivi","11.0060531","45.446307"

"42","Museo archeologico al teatro romano","4","Musei e Centri Espositivi","11.00186","45.44708"

"45","Sito archeologico degli scavi Scaligeri","4","Musei e Centri Espositivi","10.9998448","45.443061"

"202","Museo degli Affreschi ""G.B. Cavalcaselle"" e Tomba di Giulietta","4","Musei e Centri Espositivi","10.996989900000003","45.4337465"

"71","Museo di Castelvecchio","4","Musei e Centri Espositivi","10.9878302","45.4397711"

"61","Casa di Giulietta","4","Musei e Centri Espositivi","10.9984303","45.4418507"

"76","Museo Lapidario Maffeiano","4","Musei e Centri Espositivi","10.9910917","45.4382674"

"203","Galleria d'Arte Moderna ""Achille Forti""","4","Musei e Centri Espositivi","10.9980252","45.4431229"

"61","Casa di Giulietta","5","Palazzi, torri e castelli","10.9984303","45.4418507"

"45","Sito archeologico degli scavi Scaligeri","6","Siti archeologici","10.9998448","45.443061"

